ID,word,PoS,COCA-All,COCA-Acad,ratio,disp,range,HIS,EDU,SOC,LAW,HUM,PHIL,SCI,MED,BUS,HIS,EDU,SOC,LAW,HUM,PHIL,SCI,MED,BUS
71,approach,n,59191,36092,"2,14","0,95",8,4255,5023,5676,4030,3098,3126,7228,2941,715,"0,99","2,05","1,13","1,10","0,94","0,81","1,06","1,02","0,19"
72,support,v,83180,36072,"1,52","0,95",8,5160,4194,6662,3937,2158,3596,6648,3137,580,"1,20","1,72","1,32","1,07","0,66","0,94","0,97","1,09","0,15"
73,period,n,69181,35597,"1,80","0,95",9,6051,2246,6828,3260,3505,2429,6498,3801,979,"1,43","0,93","1,38","0,90","1,08","0,64","0,96","1,33","0,26"
74,organization,n,72753,35398,"1,70","0,94",9,7505,2631,5641,5056,1826,3360,5507,2771,1101,"1,78","1,10","1,14","1,40","0,57","0,89","0,82","0,98","0,30"
75,increase,v,65431,35289,"1,89","0,93",9,3844,3432,6553,3190,1147,1907,8680,5260,1276,"0,91","1,43","1,33","0,89","0,36","0,51","1,30","1,86","0,35"
76,environmental,j,54632,35191,"2,26","0,87",7,1824,1024,2824,5401,187,1241,16597,5646,447,"0,44","0,43","0,58","1,51","0,06","0,33","2,49","2,00","0,12"
77,source,n,71992,34883,"1,70","0,94",9,4263,2048,5561,3679,3002,2897,9153,3263,1017,"1,03","0,87","1,14","1,04","0,95","0,78","1,38","1,17","0,28"
78,nature,n,63226,34413,"1,91","0,94",8,3362,2304,4947,3829,4498,6495,7443,1250,285,"0,82","0,99","1,03","1,09","1,44","1,77","1,14","0,45","0,08"
79,cultural,j,48639,34239,"2,46","0,91",8,7720,2942,8925,2497,6396,3487,1574,559,139,"1,89","1,27","1,87","0,72","2,05","0,96","0,24","0,20","0,04"
80,resource,n,57586,33989,"2,07","0,93",9,4985,3681,5644,4562,1865,2097,8626,1804,725,"1,23","1,60","1,19","1,32","0,60","0,58","1,34","0,66","0,20"
